orderNumber,customerNumber,orderDate,requiredDate,shippedDate,orderStatus
10201,129,2003-12-01,2003-12-11,2003-12-02,Shipped
10202,357,2003-12-02,2003-12-09,2003-12-06,Shipped
10203,141,2003-12-02,2003-12-11,2003-12-07,Shipped
10204,151,2003-12-02,2003-12-10,2003-12-04,Shipped
10205,141,2003-12-03,2003-12-09,2003-12-07,Shipped
10206,202,2003-12-05,2003-12-13,2003-12-08,Shipped
10207,495,2003-12-09,2003-12-17,2003-12-11,Shipped
10208,146,2004-01-02,2004-01-11,2004-01-04,Shipped
10209,347,2004-01-09,2004-01-15,2004-01-12,Shipped
10210,177,2004-01-12,2004-01-22,2004-01-20,Shipped
10211,406,2004-01-15,2004-01-25,2004-01-18,Shipped
10212,141,2004-01-16,2004-01-24,2004-01-18,Shipped
10213,489,2004-01-22,2004-01-28,2004-01-27,Shipped
10214,458,2004-01-26,2004-02-04,2004-01-29,Shipped
10215,475,2004-01-29,2004-02-08,2004-02-01,Shipped
10216,256,2004-02-02,2004-02-10,2004-02-04,Shipped
10217,166,2004-02-04,2004-02-14,2004-02-06,Shipped
10218,473,2004-02-09,2004-02-16,2004-02-11,Shipped
10219,487,2004-02-10,2004-02-17,2004-02-12,Shipped
10220,189,2004-02-12,2004-02-19,2004-02-16,Shipped
10221,314,2004-02-18,2004-02-26,2004-02-19,Shipped
10222,239,2004-02-19,2004-02-27,2004-02-20,Shipped
10223,114,2004-02-20,2004-02-29,2004-02-24,Shipped
10224,171,2004-02-21,2004-03-02,2004-02-26,Shipped
10225,298,2004-02-22,2004-03-01,2004-02-24,Shipped
10226,239,2004-02-26,2004-03-06,2004-03-02,Shipped
10227,146,2004-03-02,2004-03-12,2004-03-08,Shipped
10228,173,2004-03-10,2004-03-18,2004-03-13,Shipped
10229,124,2004-03-11,2004-03-20,2004-03-12,Shipped
10230,128,2004-03-15,2004-03-24,2004-03-20,Shipped
10231,344,2004-03-19,2004-03-26,2004-03-25,Shipped
10232,240,2004-03-20,2004-03-30,2004-03-25,Shipped
10233,328,2004-03-29,2004-04-04,2004-04-02,Shipped
10234,412,2004-03-30,2004-04-05,2004-04-02,Shipped
10235,260,2004-04-02,2004-04-12,2004-04-06,Shipped
10236,486,2004-04-03,2004-04-11,2004-04-08,Shipped
10237,181,2004-04-05,2004-04-12,2004-04-10,Shipped
10238,145,2004-04-09,2004-04-16,2004-04-10,Shipped
10239,311,2004-04-12,2004-04-21,2004-04-17,Shipped
10240,177,2004-04-13,2004-04-20,2004-04-20,Shipped
10241,209,2004-04-13,2004-04-20,2004-04-19,Shipped
10242,456,2004-04-20,2004-04-28,2004-04-25,Shipped
10243,495,2004-04-26,2004-05-03,2004-04-28,Shipped
10244,141,2004-04-29,2004-05-09,2004-05-04,Shipped
10245,455,2004-05-04,2004-05-12,2004-05-09,Shipped
10246,141,2004-05-05,2004-05-13,2004-05-06,Shipped
10247,334,2004-05-05,2004-05-11,2004-05-08,Shipped
10248,131,2004-05-07,2004-05-14,NULL,Cancelled
10249,173,2004-05-08,2004-05-17,2004-05-11,Shipped
10250,450,2004-05-11,2004-05-19,2004-05-15,Shipped
10251,328,2004-05-18,2004-05-24,2004-05-24,Shipped
10252,406,2004-05-26,2004-06-04,2004-05-29,Shipped
10253,201,2004-06-01,2004-06-09,2004-06-02,Cancelled
10254,323,2004-06-03,2004-06-13,2004-06-04,Shipped
10255,209,2004-06-04,2004-06-12,2004-06-09,Shipped
10256,145,2004-06-08,2004-06-16,2004-06-10,Shipped
10257,450,2004-06-14,2004-06-24,2004-06-15,Shipped
10258,398,2004-06-15,2004-06-25,2004-06-23,Shipped
10259,166,2004-06-15,2004-06-22,2004-06-17,Shipped
10260,357,2004-06-16,2004-06-22,NULL,Cancelled
10261,233,2004-06-17,2004-06-25,2004-06-22,Shipped
10262,141,2004-06-24,2004-07-01,NULL,Cancelled
10263,175,2004-06-28,2004-07-04,2004-07-02,Shipped
10264,362,2004-06-30,2004-07-06,2004-07-01,Shipped
10265,471,2004-07-02,2004-07-09,2004-07-07,Shipped
10266,386,2004-07-06,2004-07-14,2004-07-10,Shipped
10267,151,2004-07-07,2004-07-17,2004-07-09,Shipped
10268,412,2004-07-12,2004-07-18,2004-07-14,Shipped
10269,382,2004-07-16,2004-07-22,2004-07-18,Shipped
10270,282,2004-07-19,2004-07-27,2004-07-24,Shipped
10271,124,2004-07-20,2004-07-29,2004-07-23,Shipped
10272,157,2004-07-20,2004-07-26,2004-07-22,Shipped
10273,314,2004-07-21,2004-07-28,2004-07-22,Shipped
10274,379,2004-07-21,2004-07-29,2004-07-22,Shipped
10275,119,2004-07-23,2004-08-02,2004-07-29,Shipped
10276,204,2004-08-02,2004-08-11,2004-08-08,Shipped
10277,148,2004-08-04,2004-08-12,2004-08-05,Shipped
10278,112,2004-08-06,2004-08-16,2004-08-09,Shipped
10279,141,2004-08-09,2004-08-19,2004-08-15,Shipped
10280,249,2004-08-17,2004-08-27,2004-08-19,Shipped
10281,157,2004-08-19,2004-08-28,2004-08-23,Shipped
10282,124,2004-08-20,2004-08-26,2004-08-22,Shipped
10283,260,2004-08-20,2004-08-30,2004-08-23,Shipped
10284,299,2004-08-21,2004-08-29,2004-08-26,Shipped
10285,286,2004-08-27,2004-09-04,2004-08-31,Shipped
10286,172,2004-08-28,2004-09-06,2004-09-01,Shipped
10287,298,2004-08-30,2004-09-06,2004-09-01,Shipped
10288,166,2004-09-01,2004-09-11,2004-09-05,Shipped
10289,167,2004-09-03,2004-09-13,2004-09-04,Shipped
10290,198,2004-09-07,2004-09-15,2004-09-13,Shipped
10291,448,2004-09-08,2004-09-17,2004-09-14,Shipped
10292,131,2004-09-08,2004-09-18,2004-09-11,Shipped
10293,249,2004-09-09,2004-09-18,2004-09-14,Shipped
10294,204,2004-09-10,2004-09-17,2004-09-14,Shipped
10295,362,2004-09-10,2004-09-17,2004-09-14,Shipped
10296,415,2004-09-15,2004-09-22,2004-09-16,Shipped
10297,189,2004-09-16,2004-09-22,2004-09-21,Shipped
10298,103,2004-09-27,2004-10-05,2004-10-01,Shipped
10299,186,2004-09-30,2004-10-10,2004-10-01,Shipped
10300,128,2003-10-04,2003-10-13,2003-10-09,Shipped
10301,299,2003-10-05,2003-10-15,2003-10-08,Shipped
10302,201,2003-10-06,2003-10-16,2003-10-07,Shipped
10303,484,2004-10-06,2004-10-14,2004-10-09,Shipped
10304,256,2004-10-11,2004-10-20,2004-10-17,Shipped
10305,286,2004-10-13,2004-10-22,2004-10-15,Shipped
10306,187,2004-10-14,2004-10-21,2004-10-17,Shipped
10307,339,2004-10-14,2004-10-23,2004-10-20,Shipped
10308,319,2004-10-15,2004-10-24,2004-10-20,Shipped
10309,121,2004-10-15,2004-10-24,2004-10-18,Shipped
10310,259,2004-10-16,2004-10-24,2004-10-18,Shipped
10311,141,2004-10-16,2004-10-23,2004-10-20,Shipped
10312,124,2004-10-21,2004-10-27,2004-10-23,Shipped
10313,202,2004-10-22,2004-10-28,2004-10-25,Shipped
10314,227,2004-10-22,2004-11-01,2004-10-23,Shipped
10315,119,2004-10-29,2004-11-08,2004-10-30,Shipped
10316,240,2004-11-01,2004-11-09,2004-11-07,Shipped
10317,161,2004-11-02,2004-11-12,2004-11-08,Shipped
10318,157,2004-11-02,2004-11-09,2004-11-07,Shipped
10319,456,2004-11-03,2004-11-11,2004-11-06,Shipped
10320,144,2004-11-03,2004-11-13,2004-11-07,Shipped
10321,462,2004-11-04,2004-11-12,2004-11-07,Shipped
10322,363,2004-11-04,2004-11-12,2004-11-10,Shipped
10323,128,2004-11-05,2004-11-12,2004-11-09,Shipped
10324,181,2004-11-05,2004-11-11,2004-11-08,Shipped
10325,121,2004-11-05,2004-11-13,2004-11-08,Shipped
10326,144,2004-11-09,2004-11-16,2004-11-10,Shipped
10327,145,2004-11-10,2004-11-19,2004-11-13,Resolved
10328,278,2004-11-12,2004-11-21,2004-11-18,Shipped
10329,131,2004-11-15,2004-11-24,2004-11-16,Shipped
10330,385,2004-11-16,2004-11-25,2004-11-21,Shipped
10331,486,2004-11-17,2004-11-23,2004-11-23,Shipped
10332,187,2004-11-17,2004-11-25,2004-11-18,Shipped
10333,129,2004-11-18,2004-11-27,2004-11-20,Shipped
10334,144,2004-11-19,2004-11-28,NULL,"On Hold"
10335,124,2004-11-19,2004-11-29,2004-11-23,Shipped
10336,172,2004-11-20,2004-11-26,2004-11-24,Shipped
10337,424,2004-11-21,2004-11-30,2004-11-26,Shipped
10338,381,2004-11-22,2004-12-02,2004-11-27,Shipped
10339,398,2004-11-23,2004-11-30,2004-11-30,Shipped
10340,216,2004-11-24,2004-12-01,2004-11-25,Shipped
10341,382,2004-11-24,2004-12-01,2004-11-29,Shipped
10342,114,2004-11-24,2004-12-01,2004-11-29,Shipped
10343,353,2004-11-24,2004-12-01,2004-11-26,Shipped
10344,350,2004-11-25,2004-12-02,2004-11-29,Shipped
10345,103,2004-11-25,2004-12-01,2004-11-26,Shipped
10346,112,2004-11-29,2004-12-05,2004-11-30,Shipped
10347,114,2004-11-29,2004-12-07,2004-11-30,Shipped
10348,458,2004-11-01,2004-11-08,2004-11-05,Shipped
10349,151,2004-12-01,2004-12-07,2004-12-03,Shipped
10350,141,2004-12-02,2004-12-08,2004-12-05,Shipped
10351,324,2004-12-03,2004-12-11,2004-12-07,Shipped
10352,198,2004-12-03,2004-12-12,2004-12-09,Shipped
10353,447,2004-12-04,2004-12-11,2004-12-05,Shipped
10354,323,2004-12-04,2004-12-10,2004-12-05,Shipped
10355,141,2004-12-07,2004-12-14,2004-12-13,Shipped
10356,250,2004-12-09,2004-12-15,2004-12-12,Shipped
10357,124,2004-12-10,2004-12-16,2004-12-14,Shipped
10358,141,2004-12-10,2004-12-16,2004-12-16,Shipped
10359,353,2004-12-15,2004-12-23,2004-12-18,Shipped
10360,496,2004-12-16,2004-12-22,2004-12-18,Shipped
10361,282,2004-12-17,2004-12-24,2004-12-20,Shipped
10362,161,2005-01-05,2005-01-16,2005-01-10,Shipped
10363,334,2005-01-06,2005-01-12,2005-01-10,Shipped
10364,350,2005-01-06,2005-01-17,2005-01-09,Shipped
10365,320,2005-01-07,2005-01-18,2005-01-11,Shipped
10366,381,2005-01-10,2005-01-19,2005-01-12,Shipped
10367,205,2005-01-12,2005-01-21,2005-01-16,Resolved
10368,124,2005-01-19,2005-01-27,2005-01-24,Shipped
10369,379,2005-01-20,2005-01-28,2005-01-24,Shipped
10370,276,2005-01-20,2005-02-01,2005-01-25,Shipped
10371,124,2005-01-23,2005-02-03,2005-01-25,Shipped
10372,398,2005-01-26,2005-02-05,2005-01-28,Shipped
10373,311,2005-01-31,2005-02-08,2005-02-06,Shipped
10374,333,2005-02-02,2005-02-09,2005-02-03,Shipped
10375,119,2005-02-03,2005-02-10,2005-02-06,Shipped
10376,219,2005-02-08,2005-02-18,2005-02-13,Shipped
10377,186,2005-02-09,2005-02-21,2005-02-12,Shipped
10378,141,2005-02-10,2005-02-18,2005-02-11,Shipped
10379,141,2005-02-10,2005-02-18,2005-02-11,Shipped
10380,141,2005-02-16,2005-02-24,2005-02-18,Shipped
10381,321,2005-02-17,2005-02-25,2005-02-18,Shipped
10382,124,2005-02-17,2005-02-23,2005-02-18,Shipped
10383,141,2005-02-22,2005-03-02,2005-02-25,Shipped
10384,321,2005-02-23,2005-03-06,2005-02-27,Shipped
10385,124,2005-02-28,2005-03-09,2005-03-01,Shipped
10386,141,2005-03-01,2005-03-09,2005-03-06,Resolved
10387,148,2005-03-02,2005-03-09,2005-03-06,Shipped
10388,462,2005-03-03,2005-03-11,2005-03-09,Shipped
10389,448,2005-03-03,2005-03-09,2005-03-08,Shipped
10390,124,2005-03-04,2005-03-11,2005-03-07,Shipped
10391,276,2005-03-09,2005-03-20,2005-03-15,Shipped
10392,452,2005-03-10,2005-03-18,2005-03-12,Shipped
10393,323,2005-03-11,2005-03-22,2005-03-14,Shipped
10394,141,2005-03-15,2005-03-25,2005-03-19,Shipped
10395,250,2005-03-17,2005-03-24,2005-03-23,Shipped
10396,124,2005-03-23,2005-04-02,2005-03-28,Shipped
10397,242,2005-03-28,2005-04-09,2005-04-01,Shipped
10398,353,2005-03-30,2005-04-09,2005-03-31,Shipped
10399,496,2005-04-01,2005-04-12,2005-04-03,Shipped
10400,450,2005-04-01,2005-04-11,2005-04-04,Shipped
10401,328,2005-04-03,2005-04-14,NULL,"On Hold"
10402,406,2005-04-07,2005-04-14,2005-04-12,Shipped
10403,201,2005-04-08,2005-04-18,2005-04-11,Shipped
10404,323,2005-04-08,2005-04-14,2005-04-11,Shipped
10405,209,2005-04-14,2005-04-24,2005-04-20,Shipped
10406,145,2005-04-15,2005-04-25,2005-04-21,Disputed
10407,450,2005-04-22,2005-05-04,NULL,"On Hold"
10408,398,2005-04-22,2005-04-29,2005-04-27,Shipped
10409,166,2005-04-23,2005-05-05,2005-04-24,Shipped
10410,357,2005-04-29,2005-05-10,2005-04-30,Shipped
10411,233,2005-05-01,2005-05-08,2005-05-06,Shipped
10412,141,2005-05-03,2005-05-13,2005-05-05,Shipped
10413,175,2005-05-05,2005-05-14,2005-05-09,Shipped
10414,362,2005-05-06,2005-05-13,NULL,"On Hold"
10415,471,2005-05-09,2005-05-20,2005-05-12,Disputed
10416,386,2005-05-10,2005-05-16,2005-05-14,Shipped
10417,141,2005-05-13,2005-05-19,2005-05-19,Disputed
10418,412,2005-05-16,2005-05-24,2005-05-20,Shipped
10419,382,2005-05-17,2005-05-28,2005-05-19,Shipped
10420,282,2005-05-29,2005-06-07,NULL,"In Process"
10421,124,2005-05-29,2005-06-06,NULL,"In Process"
10422,157,2005-05-30,2005-06-11,NULL,"In Process"
10423,314,2005-05-30,2005-06-05,NULL,"In Process"
10424,141,2005-05-31,2005-06-08,NULL,"In Process"
10425,119,2005-05-31,2005-06-07,NULL,"In Process"
