orderNumber,orderLineNumber,productLine,productCode,productName,productScale,buyPrice,MSRP,quantityOrdered,priceEach
10106,14,"Vintage Cars",S24_3420,"1937 Horch 930V Limousine",1:24,26.30,65.75,31,55.89
10106,11,Planes,S24_3949,"Corsair F4U ( Bird Cage)",1:24,29.34,68.24,50,55.96
10106,3,Planes,S24_4278,"1900s Vintage Tri-Plane",1:24,36.23,72.45,26,71.00
10106,5,"Vintage Cars",S32_4289,"1928 Ford Phaeton Deluxe",1:32,33.02,68.79,33,65.35
10106,6,"Vintage Cars",S50_1341,"1930 Buick Marquette Phaeton",1:50,27.06,43.64,39,35.78
10106,7,Planes,S700_1691,"American Airlines: B767-300",1:700,51.15,91.34,31,91.34
10106,16,Ships,S700_2047,"HMS Bounty",1:700,39.83,90.52,30,85.09
10106,9,Planes,S700_2466,"America West Airlines B757-200",1:700,68.80,99.72,34,99.72
10107,2,Motorcycles,S10_1678,"1969 Harley Davidson Ultimate Chopper",1:10,48.81,95.70,30,81.35
10107,5,Motorcycles,S10_2016,"1996 Moto Guzzi 1100i",1:10,68.99,118.94,39,105.86
10107,4,Motorcycles,S10_4698,"2003 Harley-Davidson Eagle Drag Bike",1:10,91.02,193.66,27,172.36
10107,1,Motorcycles,S12_2823,"2002 Suzuki XREO",1:12,66.27,150.62,21,122.00
10107,6,Motorcycles,S18_2625,"1936 Harley Davidson El Knucklehead",1:18,24.23,60.57,29,52.70
10107,3,Motorcycles,S24_1578,"1997 BMW R 1100 S",1:24,60.86,112.70,25,96.92
10107,7,Motorcycles,S24_2000,"1960 BSA Gold Star DBD34",1:24,37.32,76.17,38,73.12
10107,8,Motorcycles,S32_1374,"1997 BMW F650 ST",1:32,66.92,99.89,20,88.90
10108,6,"Classic Cars",S12_1099,"1968 Ford Mustang",1:12,95.34,194.57,33,165.38
10108,4,"Classic Cars",S12_3380,"1968 Dodge Charger",1:12,75.16,117.44,45,96.30
10108,7,"Classic Cars",S12_3990,"1970 Plymouth Hemi Cuda",1:12,31.92,79.80,39,75.81
10108,3,"Classic Cars",S12_4675,"1969 Dodge Charger",1:12,58.73,115.16,36,107.10
10108,2,"Classic Cars",S18_1889,"1948 Porsche 356-A Roadster",1:18,53.90,77.00,38,67.76
10108,9,"Classic Cars",S18_3278,"1969 Dodge Super Bee",1:18,49.05,80.41,26,73.17
10108,8,"Classic Cars",S18_3482,"1976 Ford Gran Torino",1:18,73.49,146.99,29,132.29
10108,12,Motorcycles,S18_3782,"1957 Vespa GS150",1:18,32.95,62.17,43,52.84
10108,11,"Classic Cars",S18_4721,"1957 Corvette Convertible",1:18,69.93,148.80,44,139.87
10108,15,Motorcycles,S24_2360,"1982 Ducati 900 Monster",1:24,47.10,69.26,35,64.41
10108,5,"Classic Cars",S24_3371,"1971 Alpine Renault 1600s",1:24,38.58,61.23,30,60.01
10108,1,"Classic Cars",S24_3856,"1956 Porsche 356A Coupe",1:18,98.30,140.43,40,132.00
10108,10,"Classic Cars",S24_4620,"1961 Chevrolet Impala",1:18,32.33,80.84,31,67.10
10108,13,Motorcycles,S32_2206,"1982 Ducati 996 R",1:32,24.14,40.23,27,36.21
10108,16,Motorcycles,S32_4485,"1974 Ducati 350 Mk3 Desmo",1:32,56.13,102.05,31,87.76
10108,14,Motorcycles,S50_4713,"2002 Yamaha YZR M1",1:50,34.17,81.36,34,74.85
10109,4,"Classic Cars",S18_1129,"1993 Mazda RX-7",1:18,83.51,141.54,26,117.48
10109,3,"Classic Cars",S18_1984,"1995 Honda Civic",1:18,93.89,142.25,38,137.98
10109,1,"Classic Cars",S18_2870,"1999 Indy 500 Monte Carlo SS",1:18,56.76,132.00,26,126.72
10109,5,"Classic Cars",S18_3232,"1992 Ferrari 360 Spider red",1:18,77.90,169.34,46,160.87
10109,2,"Classic Cars",S18_3685,"1948 Porsche Type 356 Roadster",1:18,62.16,141.28,47,125.74
10109,6,"Classic Cars",S24_2972,"1982 Lamborghini Diablo",1:24,16.24,37.76,29,32.10
10110,16,"Classic Cars",S18_1589,"1965 Aston Martin DB5",1:18,65.96,124.44,37,118.22
10110,7,"Vintage Cars",S18_1749,"1917 Grand Touring Sedan",1:18,86.70,170.00,42,153.00
10110,6,"Vintage Cars",S18_2248,"1911 Ford Town Car",1:18,33.30,60.54,32,51.46
10110,4,"Vintage Cars",S18_2325,"1932 Model A Ford J-Coupe",1:18,58.48,127.13,33,115.69
10110,1,"Vintage Cars",S18_2795,"1928 Mercedes-Benz SSK",1:18,72.56,168.75,31,163.69
10110,8,"Vintage Cars",S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport",1:18,43.26,92.03,28,81.91
10110,9,"Classic Cars",S18_4933,"1957 Ford Thunderbird",1:18,34.21,71.27,42,62.00
10110,13,"Classic Cars",S24_1046,"1970 Chevy Chevelle SS 454",1:24,49.24,73.49,36,72.02
10110,15,"Classic Cars",S24_1628,"1966 Shelby Cobra 427 S/C",1:24,29.18,50.31,29,43.27
10110,3,"Vintage Cars",S24_1937,"1939 Chevrolet Deluxe Coupe",1:24,22.57,33.19,20,28.88
10110,2,"Vintage Cars",S24_2022,"1938 Cadillac V-16 Presidential Limousine",1:24,20.61,44.80,39,40.77
10110,11,"Classic Cars",S24_2766,"1949 Jaguar XK 120",1:24,47.25,90.87,43,82.69
10110,10,"Classic Cars",S24_2887,"1952 Citroen-15CV",1:24,72.82,117.44,46,112.74
10110,12,"Classic Cars",S24_3191,"1969 Chevrolet Camaro Z28",1:24,50.51,85.61,27,80.47
10110,14,"Classic Cars",S24_3432,"2002 Chevy Corvette",1:24,62.11,107.08,37,96.37
10110,5,"Vintage Cars",S24_3969,"1936 Mercedes Benz 500k Roadster",1:24,21.75,41.03,48,35.29
10111,6,"Vintage Cars",S18_1342,"1937 Lincoln Berline",1:18,60.62,102.74,33,87.33
10111,5,"Vintage Cars",S18_1367,"1936 Mercedes-Benz 500K Special Roadster",1:18,24.26,53.91,48,48.52
10111,2,"Vintage Cars",S18_2957,"1934 Ford V8 Coupe",1:18,34.35,62.46,28,53.09
10111,1,"Vintage Cars",S18_3136,"18th Century Vintage Horse Carriage",1:18,60.74,104.72,43,94.25
10111,4,"Vintage Cars",S18_3320,"1917 Maxwell Touring Car",1:18,57.54,99.21,39,91.27
10111,3,"Vintage Cars",S24_4258,"1936 Chrysler Airflow",1:24,57.46,97.39,26,85.70
10112,1,"Classic Cars",S10_1949,"1952 Alpine Renault 1300",1:10,98.58,214.30,29,197.16
10112,2,"Vintage Cars",S18_2949,"1913 Ford Model T Speedster",1:18,60.78,101.31,23,85.10
10113,2,"Trucks and Buses",S12_1666,"1958 Setra Bus",1:12,77.90,136.67,21,121.64
10113,4,"Trucks and Buses",S18_1097,"1940 Ford Pickup Truck",1:18,58.33,116.67,49,101.50
10113,3,"Vintage Cars",S18_4668,"1939 Cadillac Limousine",1:18,23.14,50.31,50,43.27
10113,1,"Trucks and Buses",S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",1:32,33.61,64.64,23,58.82
10114,8,"Classic Cars",S10_4962,"1962 LanciaA Delta 16V",1:10,103.42,147.74,31,128.53
10114,3,"Trucks and Buses",S18_2319,"1964 Mercedes Tour Bus",1:18,74.86,122.73,39,106.78
10114,6,"Trucks and Buses",S18_2432,"1926 Ford Fire Engine",1:18,24.92,60.77,45,53.48
10114,4,"Classic Cars",S18_3232,"1992 Ferrari 360 Spider red",1:18,77.90,169.34,48,169.34
10114,9,"Trucks and Buses",S18_4600,"1940s Ford truck",1:18,84.76,121.08,41,105.34
10114,5,"Trucks and Buses",S24_2300,"1962 Volkswagen Microbus",1:24,61.34,127.79,21,102.23
10114,1,"Classic Cars",S24_2840,"1958 Chevy Corvette Limited Edition",1:24,15.91,35.36,24,28.64
10114,7,"Trucks and Buses",S32_1268,"1980’s GM Manhattan Express",1:32,53.93,96.31,32,88.61
10114,2,"Trucks and Buses",S32_2509,"1954 Greyhound Scenicruiser",1:32,25.98,54.11,28,43.83
10114,10,"Classic Cars",S700_2824,"1982 Camaro Z28",1:18,46.53,101.15,42,82.94
10115,5,"Trucks and Buses",S12_4473,"1957 Chevy Pickup",1:12,55.70,118.50,46,111.39
10115,4,"Classic Cars",S18_2238,"1998 Chrysler Plymouth Prowler",1:18,101.51,163.73,46,140.81
10115,2,"Classic Cars",S24_1444,"1970 Dodge Coronet",1:24,32.37,57.80,47,56.64
10115,1,"Classic Cars",S24_4048,"1992 Porsche Cayenne Turbo Silver",1:24,69.78,118.28,44,106.45
10115,3,"Trucks and Buses",S50_1392,"Diamond T620 Semi-Skirted Tanker",1:50,68.29,115.75,27,100.70
10116,1,Trains,S32_3207,"1950's Chicago Surface Lines Streetcar",1:32,26.72,62.14,27,60.28
10117,9,"Classic Cars",S12_1108,"2001 Ferrari Enzo",1:12,95.59,207.80,33,195.33
10117,10,"Classic Cars",S12_3148,"1969 Corvair Monza",1:18,89.14,151.08,43,148.06
10117,8,"Classic Cars",S12_3891,"1969 Ford Falcon",1:12,83.05,173.02,39,173.02
10117,5,"Vintage Cars",S18_3140,"1903 Ford Model A",1:18,68.30,136.59,26,121.57
10117,7,Trains,S18_3259,"Collectable Wooden Train",1:18,67.56,100.84,21,81.68
10117,12,"Classic Cars",S18_4027,"1970 Triumph Spitfire",1:18,91.92,143.62,22,122.08
10117,4,"Vintage Cars",S18_4522,"1904 Buick Runabout",1:18,52.66,87.77,23,73.73
10117,3,Ships,S24_2011,"18th century schooner",1:24,82.34,122.89,41,119.20
10117,11,Trains,S50_1514,"1962 City of Detroit Streetcar",1:50,37.49,58.58,21,55.65
10117,6,Ships,S700_1938,"The Mayflower",1:700,43.30,86.61,38,75.35
10117,1,Ships,S700_3962,"The Queen Mary",1:700,53.63,99.31,45,89.38
10117,2,Ships,S72_3212,"Pont Yacht",1:72,33.30,54.60,50,52.42
10118,1,Ships,S700_3505,"The Titanic",1:700,51.09,100.17,36,86.15
10119,12,Ships,S700_2610,"The USS Constitution Ship",1:700,33.97,72.28,38,67.22
10119,1,Planes,S700_4002,"American Airlines: MD-11S",1:700,36.27,74.03,26,63.67
10119,6,Planes,S72_1253,"Boeing X-32A JSF",1:72,32.77,49.66,28,40.22
10119,11,"Classic Cars",S10_4757,"1972 Alfa Romeo GTA",1:10,85.68,136.00,46,112.88
10119,3,Planes,S18_1662,"1980s Black Hawk Helicopter",1:18,77.27,157.69,43,151.38
10119,9,Ships,S18_3029,"1999 Yamaha Speed Boat",1:18,51.61,86.02,21,74.84
10119,8,"Vintage Cars",S18_3856,"1941 Chevrolet Special Deluxe Cabriolet",1:18,64.58,105.87,27,95.28
10119,4,Planes,S24_2841,"1900s Vintage Bi-Plane",1:24,34.25,68.51,41,64.40
10119,13,"Vintage Cars",S24_3151,"1912 Ford Model T Delivery Wagon",1:24,46.91,88.51,35,72.58
10119,5,"Vintage Cars",S24_3420,"1937 Horch 930V Limousine",1:24,26.30,65.75,20,63.12
10119,10,"Vintage Cars",S24_3816,"1940 Ford Delivery Sedan",1:24,48.64,83.86,35,82.18
10119,2,Planes,S24_3949,"Corsair F4U ( Bird Cage)",1:24,29.34,68.24,28,62.10
10119,14,Ships,S700_1138,"The Schooner Bluenose",1:700,34.00,66.67,25,57.34
10119,7,Ships,S700_2047,"HMS Bounty",1:700,39.83,90.52,29,74.23
10120,3,Motorcycles,S10_2016,"1996 Moto Guzzi 1100i",1:10,68.99,118.94,29,118.94
10120,2,Motorcycles,S10_4698,"2003 Harley-Davidson Eagle Drag Bike",1:10,91.02,193.66,46,158.80
10120,8,Planes,S18_2581,"P-51-D Mustang",1:72,49.00,84.48,29,82.79
10120,4,Motorcycles,S18_2625,"1936 Harley Davidson El Knucklehead",1:18,24.23,60.57,46,57.54
10120,1,Motorcycles,S24_1578,"1997 BMW R 1100 S",1:24,60.86,112.70,35,110.45
10120,10,Planes,S24_1785,"1928 British Royal Navy Airplane",1:24,66.74,109.42,39,93.01
10120,5,Motorcycles,S24_2000,"1960 BSA Gold Star DBD34",1:24,37.32,76.17,34,72.36
10120,9,Planes,S24_4278,"1900s Vintage Tri-Plane",1:24,36.23,72.45,29,71.73
10120,6,Motorcycles,S32_1374,"1997 BMW F650 ST",1:32,66.92,99.89,22,94.90
10120,11,"Vintage Cars",S32_4289,"1928 Ford Phaeton Deluxe",1:32,33.02,68.79,29,68.79
10120,12,"Vintage Cars",S50_1341,"1930 Buick Marquette Phaeton",1:50,27.06,43.64,49,41.46
10120,13,Planes,S700_1691,"American Airlines: B767-300",1:700,51.15,91.34,47,91.34
10120,15,Planes,S700_2466,"America West Airlines B757-200",1:700,68.80,99.72,24,81.77
10120,7,Planes,S700_2834,"ATA: B757-300",1:700,59.33,118.65,24,106.79
10120,14,Planes,S700_3167,"F/A 18 Hornet 1/72",1:72,54.40,80.00,43,72.00
10121,5,Motorcycles,S10_1678,"1969 Harley Davidson Ultimate Chopper",1:10,48.81,95.70,34,86.13
10121,4,Motorcycles,S12_2823,"2002 Suzuki XREO",1:12,66.27,150.62,50,126.52
10121,2,Motorcycles,S24_2360,"1982 Ducati 900 Monster",1:24,47.10,69.26,32,58.18
10121,3,Motorcycles,S32_4485,"1974 Ducati 350 Mk3 Desmo",1:32,56.13,102.05,25,95.93
10121,1,Motorcycles,S50_4713,"2002 Yamaha YZR M1",1:50,34.17,81.36,44,72.41
10122,10,"Classic Cars",S12_1099,"1968 Ford Mustang",1:12,95.34,194.57,42,155.66
10122,8,"Classic Cars",S12_3380,"1968 Dodge Charger",1:12,75.16,117.44,37,113.92
10122,11,"Classic Cars",S12_3990,"1970 Plymouth Hemi Cuda",1:12,31.92,79.80,32,65.44
10122,7,"Classic Cars",S12_4675,"1969 Dodge Charger",1:12,58.73,115.16,20,104.80
10122,2,"Classic Cars",S18_1129,"1993 Mazda RX-7",1:18,83.51,141.54,34,114.65
10122,6,"Classic Cars",S18_1889,"1948 Porsche 356-A Roadster",1:18,53.90,77.00,43,62.37
10122,1,"Classic Cars",S18_1984,"1995 Honda Civic",1:18,93.89,142.25,31,113.80
10122,3,"Classic Cars",S18_3232,"1992 Ferrari 360 Spider red",1:18,77.90,169.34,25,137.17
10122,13,"Classic Cars",S18_3278,"1969 Dodge Super Bee",1:18,49.05,80.41,21,69.15
10122,12,"Classic Cars",S18_3482,"1976 Ford Gran Torino",1:18,73.49,146.99,21,133.76
10122,16,Motorcycles,S18_3782,"1957 Vespa GS150",1:18,32.95,62.17,35,59.06
10122,15,"Classic Cars",S18_4721,"1957 Corvette Convertible",1:18,69.93,148.80,28,145.82
10122,4,"Classic Cars",S24_2972,"1982 Lamborghini Diablo",1:24,16.24,37.76,39,34.74
10122,9,"Classic Cars",S24_3371,"1971 Alpine Renault 1600s",1:24,38.58,61.23,34,50.82
10122,5,"Classic Cars",S24_3856,"1956 Porsche 356A Coupe",1:18,98.30,140.43,43,136.22
10122,14,"Classic Cars",S24_4620,"1961 Chevrolet Impala",1:18,32.33,80.84,29,67.10
10122,17,Motorcycles,S32_2206,"1982 Ducati 996 R",1:32,24.14,40.23,31,33.79
10123,2,"Classic Cars",S18_1589,"1965 Aston Martin DB5",1:18,65.96,124.44,26,120.71
10123,3,"Classic Cars",S18_2870,"1999 Indy 500 Monte Carlo SS",1:18,56.76,132.00,46,114.84
10123,4,"Classic Cars",S18_3685,"1948 Porsche Type 356 Roadster",1:18,62.16,141.28,34,117.26
10123,1,"Classic Cars",S24_1628,"1966 Shelby Cobra 427 S/C",1:24,29.18,50.31,50,43.27
10124,6,"Vintage Cars",S18_1749,"1917 Grand Touring Sedan",1:18,86.70,170.00,21,153.00
10124,5,"Vintage Cars",S18_2248,"1911 Ford Town Car",1:18,33.30,60.54,42,58.12
10124,3,"Vintage Cars",S18_2325,"1932 Model A Ford J-Coupe",1:18,58.48,127.13,42,111.87
10124,7,"Vintage Cars",S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport",1:18,43.26,92.03,36,75.46
10124,8,"Classic Cars",S18_4933,"1957 Ford Thunderbird",1:18,34.21,71.27,23,66.28
10124,12,"Classic Cars",S24_1046,"1970 Chevy Chevelle SS 454",1:24,49.24,73.49,22,62.47
10124,2,"Vintage Cars",S24_1937,"1939 Chevrolet Deluxe Coupe",1:24,22.57,33.19,45,30.53
10124,1,"Vintage Cars",S24_2022,"1938 Cadillac V-16 Presidential Limousine",1:24,20.61,44.80,22,36.29
10124,10,"Classic Cars",S24_2766,"1949 Jaguar XK 120",1:24,47.25,90.87,32,74.51
10124,9,"Classic Cars",S24_2887,"1952 Citroen-15CV",1:24,72.82,117.44,25,93.95
10124,11,"Classic Cars",S24_3191,"1969 Chevrolet Camaro Z28",1:24,50.51,85.61,49,76.19
10124,13,"Classic Cars",S24_3432,"2002 Chevy Corvette",1:24,62.11,107.08,43,101.73
10124,4,"Vintage Cars",S24_3969,"1936 Mercedes Benz 500k Roadster",1:24,21.75,41.03,46,36.11
10125,1,"Vintage Cars",S18_1342,"1937 Lincoln Berline",1:18,60.62,102.74,32,89.38
10125,2,"Vintage Cars",S18_2795,"1928 Mercedes-Benz SSK",1:18,72.56,168.75,34,138.38
10126,11,"Classic Cars",S10_1949,"1952 Alpine Renault 1300",1:10,98.58,214.30,38,205.73
10126,4,"Classic Cars",S10_4962,"1962 LanciaA Delta 16V",1:10,103.42,147.74,22,122.62
10126,8,"Trucks and Buses",S12_1666,"1958 Setra Bus",1:12,77.90,136.67,21,135.30
10126,10,"Trucks and Buses",S18_1097,"1940 Ford Pickup Truck",1:18,58.33,116.67,38,116.67
10126,17,"Vintage Cars",S18_1367,"1936 Mercedes-Benz 500K Special Roadster",1:18,24.26,53.91,42,51.21
10126,2,"Trucks and Buses",S18_2432,"1926 Ford Fire Engine",1:18,24.92,60.77,43,51.05
10126,12,"Vintage Cars",S18_2949,"1913 Ford Model T Speedster",1:18,60.78,101.31,31,93.21
10126,14,"Vintage Cars",S18_2957,"1934 Ford V8 Coupe",1:18,34.35,62.46,46,61.84
10126,13,"Vintage Cars",S18_3136,"18th Century Vintage Horse Carriage",1:18,60.74,104.72,30,93.20
10126,16,"Vintage Cars",S18_3320,"1917 Maxwell Touring Car",1:18,57.54,99.21,38,94.25
10126,5,"Trucks and Buses",S18_4600,"1940s Ford truck",1:18,84.76,121.08,50,102.92
10126,9,"Vintage Cars",S18_4668,"1939 Cadillac Limousine",1:18,23.14,50.31,43,47.29
10126,1,"Trucks and Buses",S24_2300,"1962 Volkswagen Microbus",1:24,61.34,127.79,27,122.68
10126,15,"Vintage Cars",S24_4258,"1936 Chrysler Airflow",1:24,57.46,97.39,34,83.76
10126,3,"Trucks and Buses",S32_1268,"1980’s GM Manhattan Express",1:32,53.93,96.31,43,82.83
10126,7,"Trucks and Buses",S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",1:32,33.61,64.64,26,62.05
10126,6,"Classic Cars",S700_2824,"1982 Camaro Z28",1:18,46.53,101.15,45,97.10
10127,2,"Classic Cars",S12_1108,"2001 Ferrari Enzo",1:12,95.59,207.80,46,193.25
10127,3,"Classic Cars",S12_3148,"1969 Corvair Monza",1:18,89.14,151.08,46,140.50
10127,1,"Classic Cars",S12_3891,"1969 Ford Falcon",1:12,83.05,173.02,42,169.56
10127,11,"Trucks and Buses",S12_4473,"1957 Chevy Pickup",1:12,55.70,118.50,24,100.73
10127,10,"Classic Cars",S18_2238,"1998 Chrysler Plymouth Prowler",1:18,101.51,163.73,45,140.81
10127,14,"Trucks and Buses",S18_2319,"1964 Mercedes Tour Bus",1:18,74.86,122.73,45,114.14
10127,15,"Classic Cars",S18_3232,"1992 Ferrari 360 Spider red",1:18,77.90,169.34,22,149.02
10127,5,"Classic Cars",S18_4027,"1970 Triumph Spitfire",1:18,91.92,143.62,25,126.39
10127,8,"Classic Cars",S24_1444,"1970 Dodge Coronet",1:24,32.37,57.80,20,50.86
10127,12,"Classic Cars",S24_2840,"1958 Chevy Corvette Limited Edition",1:24,15.91,35.36,39,34.30
10127,7,"Classic Cars",S24_4048,"1992 Porsche Cayenne Turbo Silver",1:24,69.78,118.28,20,107.63
10127,13,"Trucks and Buses",S32_2509,"1954 Greyhound Scenicruiser",1:32,25.98,54.11,45,46.53
10127,6,Trains,S32_3207,"1950's Chicago Surface Lines Streetcar",1:32,26.72,62.14,29,60.90
10127,9,"Trucks and Buses",S50_1392,"Diamond T620 Semi-Skirted Tanker",1:50,68.29,115.75,46,111.12
10127,4,Trains,S50_1514,"1962 City of Detroit Streetcar",1:50,37.49,58.58,46,55.65
10128,2,"Vintage Cars",S18_3140,"1903 Ford Model A",1:18,68.30,136.59,41,120.20
10128,4,Trains,S18_3259,"Collectable Wooden Train",1:18,67.56,100.84,41,80.67
10128,1,"Vintage Cars",S18_4522,"1904 Buick Runabout",1:18,52.66,87.77,43,77.24
10128,3,Ships,S700_1938,"The Mayflower",1:700,43.30,86.61,32,72.75
10129,2,"Classic Cars",S10_4757,"1972 Alfa Romeo GTA",1:10,85.68,136.00,33,123.76
10129,9,Ships,S24_2011,"18th century schooner",1:24,82.34,122.89,45,113.06
